ticker,company_name,sector,current_price,annual_dividend,eps,dividend_years_paid,market_cap,pe_ratio,dividend_yield_source,source_url,last_updated,payout_ratio,sustainability_pass,consistency_pass,eligible,yield_score,yield_rank,in_top20,weight_raw,weight_capped,weight_final,shares_outstanding
KCB,KCB Group Plc,Banks,,,,10,,,,https://afx.kwayisi.org/nse/kcb.html,,,,,,,,,,,,"3,213,462,815"
EQTY,Equity Group Holdings Plc,Banks,,,,5,,,,https://afx.kwayisi.org/nse/eqty.html,,,,,,,,,,,,"3,773,674,802"
COOP,Co-operative Bank of Kenya Ltd,Banks,,,,5,,,,https://afx.kwayisi.org/nse/coop.html,,,,,,,,,,,,"5,867,175,133"
ABSA,ABSA Bank Kenya Plc,Banks,,,,5,,,,https://afx.kwayisi.org/nse/absa.html,,,,,,,,,,,,"5,431,536,000"
SCBK,Standard Chartered Bank Kenya Ltd,Banks,,,,5,,,,https://afx.kwayisi.org/nse/scbk.html,,,,,,,,,,,,"377,850,589"
NCBA,NCBA Group Plc,Banks,,,,5,,,,https://afx.kwayisi.org/nse/ncba.html,,,,,,,,,,,,"1,647,519,532"
DTK,Diamond Trust Bank Kenya Ltd,Banks,,,,10,,,,https://afx.kwayisi.org/nse/dtk.html,,,,,,,,,,,,"279,602,220"
IMH,I&M Group Plc,Banks,,,,6,,,,https://afx.kwayisi.org/nse/imh.html,,,,,,,,,,,,"1,740,121,476"
SBIC,Stanbic Holdings Plc,Banks,,,,6,,,,https://afx.kwayisi.org/nse/sbic.html,,,,,,,,,,,,"395,321,638"
BKG,BK Group Plc,Banks,,,,5,,,,https://afx.kwayisi.org/nse/bkg.html,,,,,,,,,,,,"930,000,000"
HFCK,HF Group Plc,Banks,,,,1,,,,https://afx.kwayisi.org/nse/hfck.html,,,,,,,,,,,,"1,885,490,000"
SCOM,Safaricom Plc,Telecommunication,,,,6,,,,https://afx.kwayisi.org/nse/scom.html,,,,,,,,,,,,"40,065,428,000"
EABL,East African Breweries Ltd,"Food, Beverage & Tobacco",,,,6,,,,https://afx.kwayisi.org/nse/eabl.html,,,,,,,,,,,,"786,820,000"
BAT,British American Tobacco Kenya Plc,"Food, Beverage & Tobacco",,,,5,,,,https://afx.kwayisi.org/nse/bat.html,,,,,,,,,,,,"100,000,000"
KAPC,Kapchorua Tea Kenya Ltd,"Food, Beverage & Tobacco",,,,5,,,,https://afx.kwayisi.org/nse/kapc.html,,,,,,,,,,,,15648000
SASN,Sasini Plc,"Food, Beverage & Tobacco",,,,2,,,,https://afx.kwayisi.org/nse/sasn.html,,,,,,,,,,,,"228,055,500"
WTK,Williamson Tea Kenya Plc,"Food, Beverage & Tobacco",,,,5,,,,https://afx.kwayisi.org/nse/wtk.html,,,,,,,,,,,,"35,025,280"
KUKZ,Kakuzi Plc,"Food, Beverage & Tobacco",,,,5,,,,https://afx.kwayisi.org/nse/kukz.html,,,,,,,,,,,,"19,599,999"
UNGA,Unga Group Ltd,"Food, Beverage & Tobacco",,,,0,,,,https://afx.kwayisi.org/nse/unga.html,,,,,,,,,,,,"75,706,986"
JUB,Jubilee Holdings Ltd,Insurance,,,,5,,,,https://afx.kwayisi.org/nse/jub.html,,,,,,,,,,,,"72,472,950"
KNRE,Kenya Reinsurance Corporation Ltd,Insurance,,,,6,,,,https://afx.kwayisi.org/nse/knre.html,,,,,,,,,,,,"5,599,600,000"
BRIT,Britam Holdings Plc,Insurance,,,,1,,,,https://afx.kwayisi.org/nse/brit.html,,,,,,,,,,,,"2,523,480,000"
CIC,CIC Insurance Group Plc,Insurance,,,,10,,,,https://afx.kwayisi.org/nse/cic.html,,,,,,,,,,,,"2,877,090,000"
LBTY,Liberty Kenya Holdings Ltd,Insurance,,,,5,,,,https://afx.kwayisi.org/nse/lbty.html,,,,,,,,,,,,"535,707,499"
SLAM,Sanlam Kenya Plc,Insurance,,,,10,,,,https://afx.kwayisi.org/nse/slam.html,,,,,,,,,,,,"543,420,000"
PAFR,Pan Africa Insurance Holdings Ltd,Insurance,,,,0,,,,https://afx.kwayisi.org/nse/pafr.html,,,,,,,,,,,,144000000
BAMB,Bamburi Cement Plc,Materials,,,,1,,,,https://afx.kwayisi.org/nse/bamb.html,,,,,,,,,,,,362959275
CARB,Carbacid Investments Ltd,Materials,,,,5,,,,https://afx.kwayisi.org/nse/carb.html,,,,,,,,,,,,254851988
BOC,BOC Kenya Plc,Materials,,,,6,,,,https://afx.kwayisi.org/nse/boc.html,,,,,,,,,,,,"19,530,000"
CRWN,Crown Paints Kenya Plc,Materials,,,,4,,,,https://afx.kwayisi.org/nse/crwn.html,,,,,,,,,,,,"142,360,000"
KEGN,KenGen Plc,Utilities,,,,6,,,,https://afx.kwayisi.org/nse/kegn.html,,,,,,,,,,,,"6,589,981,032"
KPLC,Kenya Power & Lighting Co Ltd,Utilities,,,,2,,,,https://afx.kwayisi.org/nse/kplc.html,,,,,,,,,,,,"1,951,469,046"
TOTL,TotalEnergies Marketing Kenya Plc,Energy,,,,5,,,,https://afx.kwayisi.org/nse/totl.html,,,,,,,,,,,,"175,028,706"
CTUM,Centum Investment Company Plc,Investment Services,,,,5,,,,https://afx.kwayisi.org/nse/ctum.html,,,,,,,,,,,,"654,600,000"
NSE,Nairobi Securities Exchange Plc,Investment Services,,,,5,,,,https://afx.kwayisi.org/nse/nse.html,,,,,,,,,,,,"260,900,000"
CGEN,Car & General (Kenya) Ltd,Industrials,,,,2,,,,https://afx.kwayisi.org/nse/cgen.html,,,,,,,,,,,,"80,210,000"
TPSE,TPS Eastern Africa (Serena) Ltd,Consumer Discretionary,,,,2,,,,https://afx.kwayisi.org/nse/tpse.html,,,,,,,,,,,,"282,650,000"
NMG,Nation Media Group Plc,Communication Services,,,,1,,,,https://afx.kwayisi.org/nse/nmg.html,,,,,,,,,,,,"171,273,204"
SGL,Standard Group Plc,Communication Services,,,,5,,,,https://afx.kwayisi.org/nse/sgl.html,,,,,,,,,,,,"81,731,808"
LKL,Longhorn Publishers Plc,Communication Services,,,,0,,,,https://afx.kwayisi.org/nse/lkl.html,,,,,,,,,,,,"272,440,473"
FAHR,Fahari I-REIT,Real Estate,,,,5,,,,https://afx.kwayisi.org/nse/fahr.html,,,,,,,,,,,,"180,972,300"
